Arabic,English,Dutch
ألف مَبروك,many congratulations,van harte gefeliciteerd
مُطلَق,"absolute, unlimited","absoluut, onbeperkt"
مُطلَقاً,absolutely,absoluut
نَفَّذَ,"to implement, carry out, execute","implementeren, uitvoeren, afhandelen"
حَسْب,"sufficiency, enough","voldoende, genoeg"
فَحَسْب/وَحَسْب,only,alleen
قَبيلة، قَبائِل,tribe,stam
تَوَفَّرَ,"to be plentiful; to be available ل for somebody; to be met, fulfilled (condition, requirements) في in something/somebody","overvloedig aanwezig zijn; beschikbaar zijn voor iemand; voldaan zijn aan een (voorwaarde, vereisten) in iets/iemand"
تَمَتَّعَ,"to enjoy ب something, be blessed ب something; to possess, be endowed ب with (qualities)","genieten van iets, gezegend zijn met iets; bezitten, begiftigd zijn met (kwaliteiten)"
قَطْع,"breaking off, interruption; traversing (a distance); issuing (a ticket)","afbreken, onderbreking; een afstand afleggen; een ticket uitgeven"
قَطْعاً,absolutely,absoluut
وَفاة، وَفَيات,death,dood
الوَفَيات,obituaries (newspaper section),overlijdensberichten (krantenrubriek)
سُقوط,"downfall, collapse; crash (aircraft)","ondergang, ineenstorting; vliegtuigongeluk"
رائِحة، رَوائِح,"scent, odor, perfume","geur, reuk, parfum"
فَعّاليّة,"effectiveness, efficiency","effectiviteit, efficiëntie"
فَعّاليّات,"events, activités","evenementen, activiteiten"
داخِليّة,"(ministry) interior, of state","(ministerie) binnenlandse zaken, van de staat"
عَدالة,"justice, fairness","rechtvaardigheid, eerlijkheid"
جار، جيران,neighbor,buurman
وَثيقة، وَثائِق,"document; certificate; title, dead; paper, record","document; certificaat; titel, overledene; papier, record"
عَلامة; عَلامات,"mark, indiction, sign; point","teken, aanwijzing, teken; punt"
تَنسيق,"coordination, collaboration","coördinatie, samenwerking"
فَرَضَ، يَفرِضُ، الفَرْض,to impose something على on somebody; to assume أنّ that,iets على opleggen aan iemand; om dat aan te nemen
بَقاء,"survival; remaining, staying","overleven; blijven, blijven"
اِحتِفال; اِحتِفالات,"celebrating; celebration, ceremony","vieren; viering, ceremonie"
أبرَز,more/most prominent,meer/meest prominent
قَيْد، قُيود,"restriction, condition, stipulation; fetter, chain, shackle","beperking, voorwaarde, bepaling; boei, ketting, ketting"
قَيْدَ,"undergoing, in the process of","ondergaand, in het proces van"
قَيدَ الإنشاء,under construction,in aanbouw
على قَيد الحَياة,alive,in leven
لا قَيْد أُنمُلةٍ,"not one iota, not an inch","geen greintje, geen centimeter."
حِكمة، حِكَم,"wisdom; wise saying, proverb, moral","wijsheid; wijze uitspraak, spreekwoord, moraal"
فِتنة، فِتَن,"charm, allure, enchantment; dissent, unrest; riot, rebellion","charme, aantrekkingskracht, betovering; onenigheid, onrust; oproer, rebellie"
مَسيحيّ,Christian,Christen
تليفون; تليفونات,telephone,telefoon
زارَ، يَزورُ، الزِّيارة,to visit somebody or a place,iemand of een plaats bezoeken
هائِل,"great, huge, formidable; frightful, appalling","groot, enorm, ontzagwekkend; angstaanjagend, afschuwelijk"
مُؤَخَّر,"rear, end, back; balance (of a payment)","achterkant, einde, achterzijde; saldo (van een betaling)"
مُؤَخَّراً,"recently, lately; finally, in the end","recent, de laatste tijd; uiteindelijk, aan het einde"
سِياحة,tourism,toerisme
وُقوف,"standing, stopping, halting","staan, stoppen, halt houden"
ثَقيل,"heavy, cumbersome","zwaar, onhandig"
رَسْم، رُسوم,"drawing, sketching, illustrating; picture, drawing; tax, fee","tekenen, schetsen, illustreren; afbeelding, tekening; belasting, vergoeding"
جامِعيّ,(adjective) university,(bijvoeglijk naamwoord) universiteit
أسبَهَ,"to ressemble, look like, be similar to something/somebody","lijken op, op iets lijken, vergelijkbaar zijn met iets/iemand"
تَطَلَّبَ,"to require, demand something (من from somebody)","iets eisen, van iemand vragen (من van iemand)"
تَوْجيه; تَوْجيات,"directing, guiding, sending; instruction, guideline, directive","richtinggeven, begeleiden, verzenden; instructie, richtlijn, aanwijzing"
حَطَّ، يَحُطُ، الحَطّ,"to put, place, set down","neerzetten, plaatsen, neerleggen"
حَبّ,"(collective) grain, seed(s)","(collectief) graan, zaad(en)"
حَبّة، حُبوب/حَبّاب,"grain, seed; pill; bead","graan, zaad; pil; kraal"
شَوْق,"desire, yearning","verlangen, hunkering"
دَقيق,"precise, accurate; minute, micro-; delicate","precies, nauwkeurig; minuscuul, micro-; delicaat"
مُتَقَدِّم,"advanced, developed; applicant; applying, seeking (job position or admission)","gevorderd, ontwikkeld; sollicitant; solliciteren, zoeken (naar een baan of toelating)"
زِراعيّ,"agricultural, farming","landbouw, veeteelt"
شَيْطان، شَياطين,devil,duivel
قَتيل، قَتلى,"casualty, dead/killed person","slachtoffer, dode/gedood persoon"
اِستِفادة,"benefiting من from, making use من of","profijt trekken van, gebruikmaken van"
اِستِقبال,"reception; receiving, welcoming","ontvangst; het ontvangen, verwelkomen"
وَرْد,"(collective) roses, flowers","(collectief) rozen, bloemen"
وَرَدة، وُرود/وَرَدات,"rose, flower","roos, bloem"
مَدَّ، يَمُدُّ، المَدّ,"to extend, stretch something; to spread out, stretch out something","Iets uitrekken, uitstrekken; iets uitspreiden, uitrekken."
ظَلام,"darkness, injustice","duisternis, onrecht"
مُوافَقة,agreement; approval,overeenkomst; goedkeuring
سِياق,"context, course","context, cursus"
دَرْب، دَروب,"path, pathway, trail, road","pad, wandelpad, route, weg"
دُعاء,"call, appeal, request; invocation","oproep, beroep, verzoek; aanroeping"
أرسَلَ,"to send, transmit (ب) something إلى to somebody","verzenden, verzenden (ب) iets إلى naar iemand"
هَوىً,"love, affection; inclination, preference; desire, wish","liefde, genegenheid; neiging, voorkeur; verlangen, wens"
على هَواهُ,"as he likes, according to his preference","zoals hij het wil, naar zijn voorkeur"
ذَهاب,"going; leaving, departure; first half (game, match)",weggaan; vertrek; eerste helft (wedstrijd)
كَثرة,"abundance, large amount, great number","overvloed, grote hoeveelheid, groot aantal"
هادِئ,"calm, quiet, peaceful","kalm, stil, vredig"
حِفْظ,"saving, preserving, maintaining; protecting, guarding; memorizing","bewaren, behouden, onderhouden; beschermen, bewaken; onthouden"
شاشة; شاشات,"screen, computer monitor","scherm, computermonitor"
شَريك، شُرَكاء,"partner, associate","partner, medewerker"
مَحدود,limited; determined,beperkt; vastgesteld
أدخَلَ,"to insert, introduce, include something في/إلى هر","invoegen, introduceren, opnemen في/إلى هر"
تَبادُل,"exchange, interchange","ruil, uitwisseling"
سِادة,"sovereignty, supremacy","soevereiniteit, suprematie"
سِيادَته,His Excellency,Zijne Excellentie
رَمْز، رُموز,"symbol, sign, emblem; symbolic figure; (computer) icon; (telephone, postal) code; indicator; symbolizing, indicating, pointing (إلى to); dialing (phone number)","symbool, teken, embleem; symbolische figuur; (computer)icoon; (telefoon-, postcode)code; indicator; symboliserend, aangevend, wijzend (إلى naar); het kiezen van (telefoonnummer)"
ضَربة; ضَربات,"blow, strike; shot","slag, stoot; schot"
مَلامِح,"features, characteristics","kenmerken, eigenschappen"
ُغابَ، يَغيب,to be absent (عن from); to set (sun) عن on,afwezig zijn (عن van); de zon laten ondergaan (عن op)
مُفاوَضة; مُفاوَضات,"negotiation, discussion, talk","onderhandeling, discussie, gesprek"
تَدمير,"destruction, demolition; wrecking, ruining, damaging","vernietiging, sloop; verwoesting, ruïnering, beschadiging"
تَحليل، تَحاليل,"dissolution, dissolving; legalizing; analysis, (laboratory) test","ontbinden, oplossen; legaliseren; analyse, (laboratorium)test"
دَوْم,"continuance, continuation","voortzetting, voortzetting"
دَوْماً,always,altijd
وُلِدَ,to be born,geboren worden
شَريط,"tape, strip, ribbon","plakband, strook, lint"
مُتَحيل,impossible,onmogelijk
مُحافِظ,"governor; conservative; preserving, protecting","gouverneur; conservatief; behoud, bescherming"
بَيَّنَ,"to clarify, explain something; to show, demonstrate something","iets verduidelijken, uitleggen; iets laten zien, demonstreren"
مُراقَبة,"surveillance, monitoring; censorship; observation, inspection; supervision, oversight","toezicht, monitoring; censuur; observatie, inspectie; supervisie, controle"
تَفَضُّل,please (followed by imperative),alstublieft (gevolgd door gebiedende wijs)
لَوْ تَفَضَّاْتَ,if you would be so kind,Als u zo vriendelijk wilt zijn...
كُتلة، كُتَل,"bloc, group; mass, bulk","blok, groep; massa, omvang"
باعَ، يَبيعُ، البَيْع,to sell something (ب for a price),iets verkopen (voor een prijs)
ماشي,ok,OK
إحساس,"feeling, sensation; sensitivity","gevoel, gewaarwording; gevoeligheid"
اِنفِجار; اِنفِجارات,"explosion, detonation","explosie, ontploffing"
حَديقة، حَدائِق,garden,tuin
اِهتَمَّ,"to be interested ب in something; to care, be concerned ب about something","geïnteresseerd zijn in iets; zich ergens om bekommeren, bezorgd zijn over iets"
اِعتِراف,"admission, confession (ب of something); acknowledgement, recognition, acceptance (ب of something)","bekentenis, erkenning (van iets); acceptatie, instemming (van iets)"
مَنطِق,"logic, mentality","logica, mentaliteit"
مُتَّهَم,"accused ب of, charged ب with, indicted ب for; (noun) suspect","beschuldigd van, aangeklaagd voor, in staat van beschuldiging gesteld voor; (zelfstandig naamwoord) verdachte"
أصليّ,"original, master; real, true; genuine, authentic","origineel, meesterwerk; echt, authentiek; oprecht, echt"
مِثلَما,"like, as, just as","zoals, als, net zoals"
صَفقة، صَفَقات,"deal, transaction","deal, transactie"
مَنهَج، مَناهِج,"method, approach; program, curriculum","methode, aanpak; programma, curriculum"
تَعَرَّفَ,"to get to know على somebody, become acquainted على with somebody; to identify على somebody","iemand leren kennen, met iemand in contact komen; iemand identificeren"
جِنسيّة,"nationality, citizenship","nationaliteit, burgerschap"
اِتِّهام; اِتِّهامات,"accusation, charge, indictment","beschuldiging, aanklacht, tenlastelegging"
صِدْق,"sincerity, candor","oprechtheid, openhartigheid"
"عاشِق, عُشّاق","lover, person in love; admirer, fan; enthusiast, aficionado","geliefde, verliefd persoon; bewonderaar, fan; liefhebber, aficionado"
مُقَدَّس; مُقَدَّسات,"holy, sacred; sacred sites; sacred things","heilig, gewijd; heilige plaatsen; heilige dingen"
هِنديّ، هُنود,Indian (from India),Indiaas (uit India)
الهُنود الحُمْر,Native Americans,Inheemse Amerikanen
تُهمة، تُهَم,"accusation, charge","beschuldiging, aanklacht"
إبداع,"creativity, originality","creativiteit, originaliteit"
حادّ,"sharp, intense","scherp, intens"
اِمتَدَّ,"to extend, reach, spread إلى to","uitbreiden, bereiken, verspreiden إلى naar"
مِحوَر، مَحاوِر,axle; axis; pivot,as; draaipunt
طائِفيّ,"sectarian, factional","sektarisch, factiegebonden"
إصدار,"exporting; issuing, publication","exporteren; uitgeven, publiceren"
غَيَّرَ,"to change, modify something; to replace, switch something","iets veranderen, aanpassen; iets vervangen, wisselen"
مُنتَصَف,"(noun) middle, halfway","(zelfstandig naamwoord) midden, halverwege"
حَلَّ، يَحُلُّ، الحَلّ,"to dissolve, split up, untie something","iets oplossen, opsplitsen, losmaken"
حَلَّ مَحَلَّهُ,"to replace, take the place of something/somebody; to solve (problem)","iets/iemand vervangen, in de plaats van iets/iemand nemen; een probleem oplossen"
أجَل,"time, period, term; final moment, death","tijd, periode, termijn; laatste moment, dood"
شاهِد، شُهود,"witness; spectator; witnessing, viewing","getuige; toeschouwer; getuige zijn, bekijken"
جَماعيّ,"(adjective) group, collective; common","(bijvoeglijk naamwoord) groep, collectief; gemeenschappelijk"
زاوية، زَوايا,"corner, nook; section (newspaper); angle","hoek, nis; gedeelte (krant); hoek"
تَصَرُّف; تَصَرُّفات,"behavior, conduct","gedrag, handelen"
تَصَرُّفات,actions,acties
مُساعِد,"assistant, aide, support; helping, assisting, supporting","assistent, helper, ondersteuning; bijstaan, ondersteunen"
اِغتِيال; اِغتِيالات,assassination,moord
اِعتِداء; اِعتِداءات,"assault, attack, aggression","aanval, bestorming, agressie"
مَيْدان، مَيادين,"arena, field, domain; city square, plaza","arena, veld, domein; stadsplein, plaza"
